trial_id,baseline_gas_mean_ohm,baseline_gas_cv_pct,min_gas_ohm,gas_drop_pct,baseline_humidity_pct,peak_humidity_pct,humidity_increase_pp,late_recovery_gas_ohm,timing_quality
orange_001,404887.1923076923,0.48364397012787447,197036,51.33558093626648,58.97046153846153,61.053,2.082538461538469,387776.1176470588,manual interval recorded (70-140 s)
orange_002,411526.5945945946,0.26955662793322693,160200,61.07177467890814,50.999297297297296,55.897,4.897702702702702,386481.04545454547,placement ~120 s uncertain; sensor transition starts ~111.258 s; removal ~230 s
orange_003,300556.8823529412,0.41670781086390946,16571,94.48656777703036,65.13841176470589,67.324,2.185588235294105,216249.93181818182,manual interval recorded (300-400 s); only 23.1 s of pre-exposure data supplied
orange_004,343998.3103448276,0.36245950117420805,121011,64.82221093507778,44.70913793103447,57.831,13.121862068965534,323826.61363636365,manual interval recorded (100-210 s)
orange_005,327238.275862069,0.45615613941671784,85647,73.82732818330206,52.82103448275862,54.892,2.0709655172413832,295186.13636363635,manual interval recorded (100-210 s)
orange_006,342785.5172413793,0.7479134103084907,58634,82.89484326179635,47.80024137931035,54.625,6.82475862068965,299265.70454545453,manual interval recorded (100-200 s)
orange_007,342749.4137931034,0.42942072943291204,115056,66.43145243438632,44.21755172413794,56.544,12.326448275862056,327664.11363636365,manual interval recorded (100-200 s)
orange_008,336573.3103448276,0.4469988115312149,133821,60.24016287479922,44.531448275862076,75.271,30.739551724137925,306405.5909090909,manual interval recorded (100-210 s)
orange_009,305136.8275862069,0.44292093592687803,158858,47.938765288788474,51.10875862068966,66.743,15.634241379310332,289802.2272727273,manual interval recorded (110-210 s)
orange_010,286489.7586206897,0.5885443287266248,56091,80.42128965794409,54.098862068965516,71.167,17.068137931034485,225437.56818181818,manual interval recorded (100-200 s)
