trial_id,label,phase,elapsed_ms,temp_c,humidity_pct,pressure_hpa,gas_ohm
orange_003,orange_peel,baseline,276907,29.193,65.454,1007.68,300381
orange_003,orange_peel,baseline,278276,29.201,65.427,1007.68,298542
orange_003,orange_peel,baseline,279645,29.21,65.401,1007.68,300117
orange_003,orange_peel,baseline,281014,29.219,65.312,1007.69,298803
orange_003,orange_peel,baseline,282383,29.226,65.243,1007.69,300910
orange_003,orange_peel,baseline,283752,29.235,65.203,1007.68,302243
orange_003,orange_peel,baseline,285121,29.244,65.155,1007.69,300381
orange_003,orange_peel,baseline,286490,29.251,65.121,1007.69,301176
orange_003,orange_peel,baseline,287859,29.259,65.095,1007.7,298542
orange_003,orange_peel,baseline,289228,29.267,65.089,1007.69,300910
orange_003,orange_peel,baseline,290597,29.275,65.076,1007.69,301176
orange_003,orange_peel,baseline,291966,29.281,65.05,1007.68,301708
orange_003,orange_peel,baseline,293335,29.287,65.016,1007.67,299853
orange_003,orange_peel,baseline,294704,29.293,64.982,1007.68,300117
orange_003,orange_peel,baseline,296073,29.299,64.948,1007.68,300381
orange_003,orange_peel,baseline,297442,29.307,64.907,1007.69,303317
orange_003,orange_peel,baseline,298811,29.313,64.874,1007.68,300910
orange_003,orange_peel,exposure,300180,29.319,64.84,1007.69,302511
orange_003,orange_peel,exposure,301549,29.326,64.82,1007.69,301708
orange_003,orange_peel,exposure,302918,29.333,64.786,1007.69,302511
orange_003,orange_peel,exposure,304287,29.34,64.739,1007.69,302243
orange_003,orange_peel,exposure,305656,29.349,64.719,1007.7,302243
orange_003,orange_peel,exposure,307025,29.36,64.798,1007.7,48174
orange_003,orange_peel,exposure,308394,29.37,64.987,1007.71,25728
orange_003,orange_peel,exposure,309763,29.381,65.247,1007.7,20466
orange_003,orange_peel,exposure,311132,29.392,65.535,1007.71,17655
orange_003,orange_peel,exposure,312501,29.401,65.726,1007.71,16584
orange_003,orange_peel,exposure,313870,29.41,65.797,1007.71,16688
orange_003,orange_peel,exposure,315239,29.417,65.917,1007.71,16571
orange_003,orange_peel,exposure,316608,29.424,66.079,1007.71,17481
orange_003,orange_peel,exposure,317977,29.43,66.164,1007.71,18707
orange_003,orange_peel,exposure,319346,29.436,66.179,1007.7,19931
orange_003,orange_peel,exposure,320715,29.444,66.097,1007.71,21390
