trial_id,samples,exposure_start_ms,exposure_end_ms,baseline_window_start_ms,baseline_window_end_ms,baseline_gas_mean_ohm,baseline_gas_std_ohm,baseline_gas_cv_pct,min_gas_ohm,min_gas_time_ms,gas_drop_pct,baseline_humidity_pct,peak_humidity_pct,peak_humidity_time_ms,humidity_increase_pp,late_recovery_gas_ohm,recovery_fraction_pct,timing_quality,environment_note
orange_001,358,70000,140000,,,404887.1923076923,1958.212491416205,0.48364397012787447,197036,115365,51.33558093626648,58.97046153846153,61.053,123579,2.082538461538469,387776.1176470588,91.76763218403715,manual interval recorded (70-140 s),
orange_002,389,120000,230000,60000.0,110000.0,411526.5945945946,1109.2972114376307,0.26955662793322693,160200,163280,61.07177467890814,50.999297297297296,55.897,176970,4.897702702702702,386481.04545454547,90.03466020758799,placement ~120 s uncertain; sensor transition starts ~111.258 s; removal ~230 s,
orange_003,180,300000,400000,276907.0,300000.0,300556.8823529412,1252.444004853757,0.41670781086390946,16571,315239,94.48656777703036,65.13841176470589,67.324,372737,2.185588235294105,216249.93181818182,70.3129782944697,manual interval recorded (300-400 s); only 23.1 s of pre-exposure data supplied,
orange_004,217,100000,210000,50000.0,90000.0,343998.3103448276,1246.8545597235661,0.36245950117420805,121011,133162,64.82221093507778,44.70913793103447,57.831,201612,13.121862068965534,323826.61363636365,90.9538813319599,manual interval recorded (100-210 s),
orange_005,224,100000,210000,50000.0,90000.0,327238.275862069,1492.7174858662431,0.45615613941671784,85647,155066,73.82732818330206,52.82103448275862,54.892,187922,2.0709655172413832,295186.13636363635,86.73290689655032,manual interval recorded (100-210 s),
orange_006,221,100000,200000,50000.0,90000.0,342785.5172413793,2563.7388520435993,0.7479134103084907,58634,127686,82.89484326179635,47.80024137931035,54.625,176970,6.82475862068965,299265.70454545453,84.68429339444427,manual interval recorded (100-200 s),AC turned off at trial start
orange_007,208,100000,200000,50000.0,90000.0,342749.4137931034,1471.8370328373749,0.42942072943291204,115056,145483,66.43145243438632,44.21755172413794,56.544,198874,12.326448275862056,327664.11363636365,93.37473144021318,manual interval recorded (100-200 s),
orange_008,221,100000,210000,50000.0,90000.0,336573.3103448276,1504.478697172647,0.4469988115312149,133821,119472,60.24016287479922,44.531448275862076,75.271,209826,30.739551724137925,306405.5909090909,85.12089978928996,manual interval recorded (100-210 s),large humidity excursion during exposure
orange_009,220,110000,210000,60000.0,100000.0,305136.8275862069,1351.5148926024117,0.44292093592687803,158858,140007,47.938765288788474,51.10875862068966,66.743,208457,15.634241379310332,289802.2272727273,89.51686955212817,manual interval recorded (110-210 s),one pre-reboot residual row discarded
orange_010,220,100000,200000,50000.0,90000.0,286489.7586206897,1686.1192267446656,0.5885443287266248,56091,109889,80.42128965794409,54.098862068965516,71.167,160542,17.068137931034485,225437.56818181818,73.50151068331796,manual interval recorded (100-200 s),one pre-reboot residual row discarded; user observed older peel gave weaker response and moving peel caused renewed gas-resistance drop
