metric,value,unit
samples,221,
stable_baseline_window_start_ms,50000.0,ms
stable_baseline_window_end_ms,90000.0,ms
baseline_gas_mean,336573.3103448276,ohm
baseline_gas_std,1504.478697172647,ohm
baseline_gas_cv,0.4469988115312149,%
exposure_min_gas,133821,ohm
exposure_min_time,119472,ms
gas_drop_from_baseline,60.24016287479922,%
baseline_humidity_mean,44.531448275862076,%RH
exposure_peak_humidity,75.271,%RH
humidity_peak_time,209826,ms
humidity_increase,30.739551724137925,percentage_points
final_60s_gas_mean,306405.5909090909,ohm
recovery_fraction_toward_baseline,85.12089978928996,%
