metric,value,unit
samples,208,
stable_baseline_window_start_ms,50000.0,ms
stable_baseline_window_end_ms,90000.0,ms
baseline_gas_mean,342749.4137931034,ohm
baseline_gas_std,1471.8370328373749,ohm
baseline_gas_cv,0.42942072943291204,%
exposure_min_gas,115056,ohm
exposure_min_time,145483,ms
gas_drop_from_baseline,66.43145243438632,%
baseline_humidity_mean,44.21755172413794,%RH
exposure_peak_humidity,56.544,%RH
humidity_peak_time,198874,ms
humidity_increase,12.326448275862056,percentage_points
final_60s_gas_mean,327664.11363636365,ohm
recovery_fraction_toward_baseline,93.37473144021318,%
